%
freq per preWhitenedPer modelledPsd
2929.68750 -92.67834 -91.14979 -89.27510 
2937.50000 -88.72404 -87.16248 -89.30811 
2945.31250 -88.78883 -87.19440 -89.34098 
2953.12500 -93.10672 -91.47955 -89.37372 
2960.93750 -117.34047 -115.68070 -89.40632 
2968.75000 -92.07283 -90.38060 -89.43878 
2976.56250 -87.87416 -86.14959 -89.47111 
2984.37500 -87.61710 -85.86034 -89.50331 
2992.18750 -91.18126 -89.39244 -89.53537 
3000.00000 -105.27843 -103.45768 -89.56730 
3007.81250 -91.40678 -89.55424 -89.59909 
3015.62500 -86.18800 -84.30380 -89.63075 
3023.43750 -84.60476 -82.68903 -89.66228 
3031.25000 -85.29878 -83.35166 -89.69368 
3039.06250 -88.04342 -86.06503 -89.72494 
3046.87500 -91.67280 -89.66327 -89.75608 
3054.68750 -91.36456 -89.32403 -89.78708 
3062.50000 -90.05350 -87.98210 -89.81795 
3070.31250 -91.37013 -89.26798 -89.84870 
3078.12500 -97.25277 -95.12001 -89.87931 
3085.93750 -100.47444 -98.31119 -89.90980 
3093.75000 -92.55230 -90.35869 -89.94015 
3101.56250 -90.36564 -88.14181 -89.97038 
3109.37500 -91.78439 -89.53045 -90.00048 
3117.18750 -98.17555 -95.89164 -90.03046 
3125.00000 -98.35099 -96.03723 -90.06031 
3132.81250 -91.23795 -88.89447 -90.09003 
3140.62500 -89.06297 -86.68990 -90.11962 
3148.43750 -90.04581 -87.64326 -90.14909 
3156.25000 -95.19086 -92.75897 -90.17844 
3164.06250 -105.68784 -103.22673 -90.20766 
3171.87500 -93.34365 -90.85344 -90.23676 
3179.68750 -90.02783 -87.50865 -90.26573 
3187.50000 -90.44916 -87.90113 -90.29458 
3195.31250 -95.14513 -92.56837 -90.32330 
3203.12500 -109.09482 -106.48946 -90.35191 
3210.93750 -92.98859 -90.35475 -90.38039 
3218.75000 -88.66787 -86.00566 -90.40875 
3226.56250 -87.39963 -84.70919 -90.43699 
3234.37500 -87.71716 -84.99860 -90.46511 
3242.18750 -88.36779 -85.62123 -90.49310 
3250.00000 -88.17382 -85.39938 -90.52098 
3257.81250 -87.76601 -84.96382 -90.54874 
3265.62500 -88.47341 -85.64358 -90.57637 
3273.43750 -91.20148 -88.34414 -90.60389 
3281.25000 -96.15667 -93.27192 -90.63129 
3289.06250 -95.09548 -92.18346 -90.65857 
3296.87500 -91.46482 -88.52564 -90.68573 
3304.68750 -90.76018 -87.79395 -90.71278 
3312.50000 -93.17954 -90.18637 -90.73971 
3320.31250 -100.59588 -97.57591 -90.76652 
3328.12500 -97.65511 -94.60844 -90.79321 
3335.93750 -91.83977 -88.76653 -90.81979 
3343.75000 -90.14954 -87.04983 -90.84626 
3351.56250 -91.24884 -88.12278 -90.87260 
3359.37500 -95.50921 -92.35693 -90.89884 
3367.18750 -99.66777 -96.48937 -90.92495 
3375.00000 -93.94832 -90.74391 -90.95096 
3382.81250 -90.95538 -87.72508 -90.97685 
3390.62500 -90.65585 -87.39977 -91.00262 
3398.43750 -92.82824 -89.54651 -91.02828 
3406.25000 -99.18698 -95.87970 -91.05383 
3414.06250 -109.19187 -105.85915 -91.07927 
3421.87500 -95.11002 -91.75198 -91.10459 
3429.68750 -90.45320 -87.06994 -91.12980 
3437.50000 -88.03042 -84.62206 -91.15491 
3445.31250 -86.88099 -83.44764 -91.17989 
3453.12500 -86.83591 -83.37769 -91.20477 
3460.93750 -87.98160 -84.49860 -91.22954 
3468.75000 -90.43854 -86.93089 -91.25420 
3476.56250 -93.39477 -89.86257 -91.27874 
3484.37500 -93.37805 -89.82142 -91.30318 
3492.18750 -91.57742 -87.99645 -91.32751 
3500.00000 -91.01512 -87.40994 -91.35173 
3507.81250 -92.12113 -88.49184 -91.37584 
3515.62500 -94.60305 -90.94976 -91.39984 
3523.43750 -96.77243 -93.09524 -91.42373 
3531.25000 -96.66256 -92.96158 -91.44752 
3539.06250 -96.06495 -92.34030 -91.47120 
3546.87500 -95.51485 -91.76663 -91.49477 
3554.68750 -94.20511 -90.43342 -91.51824 
3562.50000 -92.97329 -89.17825 -91.54159 
3570.31250 -93.11925 -89.30095 -91.56484 
3578.12500 -95.27480 -91.43336 -91.58799 
3585.93750 -96.90745 -93.04296 -91.61103 
3593.75000 -92.86353 -88.97611 -91.63397 
3601.56250 -89.42763 -85.51738 -91.65680 
3609.37500 -87.99199 -84.05902 -91.67952 
3617.18750 -88.05263 -84.09703 -91.70214 
3625.00000 -88.42927 -84.45116 -91.72466 
3632.81250 -87.31811 -83.31759 -91.74707 
3640.62500 -85.36771 -81.34488 -91.76938 
3648.43750 -84.21365 -80.16862 -91.79158 
3656.25000 -84.44557 -80.37843 -91.81369 
3664.06250 -86.32319 -82.23405 -91.83569 
3671.87500 -89.86402 -85.75298 -91.85759 
3679.68750 -91.75401 -87.62118 -91.87938 
3687.50000 -89.31608 -85.16155 -91.90107 
3695.31250 -87.85392 -83.67780 -91.92267 
3703.12500 -88.40325 -84.20564 -91.94416 
3710.93750 -90.62506 -86.40606 -91.96555 
3718.75000 -92.54183 -88.30154 -91.98684 
3726.56250 -91.95271 -87.69123 -92.00802 
3734.37500 -91.96094 -87.67838 -92.02911 
3742.18750 -95.22778 -90.92422 -92.05010 
3750.00000 -100.29676 -95.97232 -92.07099 
3757.81250 -92.16163 -87.81640 -92.09178 
3765.62500 -87.92488 -83.55896 -92.11247 
3773.43750 -86.78741 -82.40090 -92.13306 
3781.25000 -88.42679 -84.01978 -92.15355 
3789.06250 -94.96003 -90.53263 -92.17395 
3796.87500 -98.49280 -94.04510 -92.19424 
3804.68750 -88.30593 -83.83803 -92.21444 
3812.50000 -84.74512 -80.25712 -92.23454 
3820.31250 -83.74607 -79.23806 -92.25455 
3828.12500 -84.54381 -80.01590 -92.27446 
3835.93750 -86.87870 -82.33098 -92.29427 
3843.75000 -90.05934 -85.49191 -92.31398 
3851.56250 -92.00725 -87.42020 -92.33360 
3859.37500 -92.98958 -88.38301 -92.35312 
3867.18750 -95.93569 -91.30969 -92.37254 
3875.00000 -98.57964 -93.93431 -92.39188 
3882.81250 -93.24977 -88.58520 -92.41111 
3890.62500 -90.03419 -85.35048 -92.43025 
3898.43750 -89.68651 -84.98376 -92.44930 
3906.25000 -92.32174 -87.60004 -92.46825 
3914.06250 -98.51631 -93.77575 -92.48710 
3921.87500 -94.57550 -89.81618 -92.50587 
3929.68750 -90.03245 -85.25446 -92.52454 
3937.50000 -88.98687 -84.19031 -92.54311 
3945.31250 -90.96138 -86.14634 -92.56159 
3953.12500 -96.92204 -92.08860 -92.57998 
3960.93750 -95.62784 -90.77611 -92.59828 
3968.75000 -90.13690 -85.26696 -92.61648 
3976.56250 -88.52121 -83.63316 -92.63460 
3984.37500 -90.06373 -85.15766 -92.65261 
3992.18750 -96.67368 -91.74968 -92.67054 
4000.00000 -98.63655 -93.69472 -92.68838 
4007.81250 -89.85370 -84.89413 -92.70612 
4015.62500 -86.93818 -81.96095 -92.72378 
4023.43750 -86.85795 -81.86316 -92.74134 
4031.25000 -89.44352 -84.43125 -92.75881 
4039.06250 -96.69532 -91.66568 -92.77619 
4046.87500 -102.29450 -97.24756 -92.79349 
4054.68750 -93.66609 -88.60195 -92.81069 
4062.50000 -92.43491 -87.35366 -92.82780 
4070.31250 -95.91382 -90.81554 -92.84482 
4078.12500 -110.13688 -105.02167 -92.86176 
4085.93750 -95.44155 -90.30950 -92.87860 
4093.75000 -91.05904 -85.91023 -92.89536 
4101.56250 -90.74685 -85.58137 -92.91202 
4109.37500 -94.30818 -89.12613 -92.92860 
